"filename", "language", "JSON", "TypeScript", "TypeScript React", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Avet\Sources\tourtool-client\package-lock.json", "JSON", 16245, 0, 0, 0, 0, 0, 0, 1, 16246
"c:\Users\Avet\Sources\tourtool-client\package.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\Avet\Sources\tourtool-client\public\index.html", "HTML", 0, 0, 0, 0, 0, 21, 23, 1, 45
"c:\Users\Avet\Sources\tourtool-client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Avet\Sources\tourtool-client\src\App.test.tsx", "TypeScript React", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Avet\Sources\tourtool-client\src\App.tsx", "TypeScript React", 0, 0, 93, 0, 0, 0, 16, 7, 116
"c:\Users\Avet\Sources\tourtool-client\src\components\Buttons\FacebookLogin\FacebookButton.tsx", "TypeScript React", 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\Avet\Sources\tourtool-client\src\components\Buttons\FacebookLogin\facebookButtonStyles.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Avet\Sources\tourtool-client\src\components\Buttons\FacebookLogin\index.d.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\Avet\Sources\tourtool-client\src\components\Buttons\GoogleLogin\GoogleButton.tsx", "TypeScript React", 0, 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\Avet\Sources\tourtool-client\src\components\Buttons\GoogleLogin\GoogleLogo.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Avet\Sources\tourtool-client\src\components\Buttons\GoogleLogin\googleButtonStyles.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Avet\Sources\tourtool-client\src\components\Dialogs\Login\index.tsx", "TypeScript React", 0, 0, 128, 0, 0, 0, 1, 11, 140
"c:\Users\Avet\Sources\tourtool-client\src\components\Dialogs\Login\loginDialogStyles.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 5, 3, 45
"c:\Users\Avet\Sources\tourtool-client\src\components\FormComponents\FormSubheader.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 7, 59
"c:\Users\Avet\Sources\tourtool-client\src\components\FormComponents\styles.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 1, 5, 131
"c:\Users\Avet\Sources\tourtool-client\src\components\IndependentSnackbar\SnackbarDisplay.tsx", "TypeScript React", 0, 0, 2, 0, 0, 0, 13, 5, 20
"c:\Users\Avet\Sources\tourtool-client\src\components\IndependentSnackbar\index.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 1, 5, 35
"c:\Users\Avet\Sources\tourtool-client\src\components\LanguageSelect\index.tsx", "TypeScript React", 0, 0, 43, 0, 0, 0, 1, 8, 52
"c:\Users\Avet\Sources\tourtool-client\src\components\LanguageSelect\languageSelectStyles.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Avet\Sources\tourtool-client\src\components\Layout\Headers\HeaderGeneric.tsx", "TypeScript React", 0, 0, 178, 0, 0, 0, 0, 17, 195
